Scope L1,Scope L2,Level 1,Level 2,Level 3,Level 4,Level 5,Factor Source,Column Text,Description,UOM,kg CO2e,kg CO2e of CO2,kg CO2e of CH4,kg CO2e of N2O,kWh (Net CV),kWh (net)
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Hybrid,GHG Conversion Factor 2022,Hybrid,,miles,,,,,99.212,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,LPG,GHG Conversion Factor 2022,LPG,,km,,,,,115.803,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,LPG,GHG Conversion Factor 2022,LPG,,miles,,,,,186.367,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Petrol,GHG Conversion Factor 2022,Petrol,,km,,,,,115.803,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Petrol,GHG Conversion Factor 2022,Petrol,,miles,,,,,186.367,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,km,,,,,30.859,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,miles,,,,,49.663,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Unknown,GHG Conversion Factor 2022,Unknown,,km,,,,,90.767,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Large car,,Unknown,GHG Conversion Factor 2022,Unknown,,miles,,,,,146.075,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Battery Electric Vehicle,GHG Conversion Factor 2022,Battery Electric Vehicle,,km,,,,,0,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Battery Electric Vehicle,GHG Conversion Factor 2022,Battery Electric Vehicle,,miles,,,,,0,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,CNG,GHG Conversion Factor 2022,CNG,,km,,,,,77.293,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,CNG,GHG Conversion Factor 2022,CNG,,miles,,,,,124.392,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Diesel,GHG Conversion Factor 2022,Diesel,,km,,,,,65.773,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Diesel,GHG Conversion Factor 2022,Diesel,,miles,,,,,105.851,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Hybrid,GHG Conversion Factor 2022,Hybrid,,km,,,,,44.224,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Hybrid,GHG Conversion Factor 2022,Hybrid,,miles,,,,,71.171,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,LPG,GHG Conversion Factor 2022,LPG,,km,,,,,77.293,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,LPG,GHG Conversion Factor 2022,LPG,,miles,,,,,124.392,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Petrol,GHG Conversion Factor 2022,Petrol,,km,,,,,77.293,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Petrol,GHG Conversion Factor 2022,Petrol,,miles,,,,,124.392,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,km,,,,,26.987,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,miles,,,,,43.431,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Unknown,GHG Conversion Factor 2022,Unknown,,km,,,,,71.037,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Medium car,,Unknown,GHG Conversion Factor 2022,Unknown,,miles,,,,,114.323,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Battery Electric Vehicle,GHG Conversion Factor 2022,Battery Electric Vehicle,,km,,,,,0,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Battery Electric Vehicle,GHG Conversion Factor 2022,Battery Electric Vehicle,,miles,,,,,0,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,CNG,GHG Conversion Factor 2022,CNG,,km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,CNG,GHG Conversion Factor 2022,CNG,,miles,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Diesel,GHG Conversion Factor 2022,Diesel,,km,,,,,54.642,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Diesel,GHG Conversion Factor 2022,Diesel,,miles,,,,,87.937,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Hybrid,GHG Conversion Factor 2022,Hybrid,,km,,,,,42.118,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Hybrid,GHG Conversion Factor 2022,Hybrid,,miles,,,,,67.783,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,LPG,GHG Conversion Factor 2022,LPG,,km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,LPG,GHG Conversion Factor 2022,LPG,,miles,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Petrol,GHG Conversion Factor 2022,Petrol,,km,,,,,61.256,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Petrol,GHG Conversion Factor 2022,Petrol,,miles,,,,,98.582,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,km,,,,,9.251,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,GHG Conversion Factor 2022,Plug-in Hybrid Electric Vehicle,,miles,,,,,14.887,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Unknown,GHG Conversion Factor 2022,Unknown,,km,,,,,59.041,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,Cars (by size),Small car,,Unknown,GHG Conversion Factor 2022,Unknown,,miles,,,,,95.018,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,252.555,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,406.448,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,419.214,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,6.7466,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,23.386,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,335.884,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,540.554,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,37.457,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,358.139,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,576.369,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,31.598,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,259.157,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,417.073,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,4.1986,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,645.121,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,2.874,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,330.008,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,531.097,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,47.129,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,346.078,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,556.958,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All HGVs,,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,41.217,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,269.176,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,433.196,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,373.007,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,600.296,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,52.118,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,321.091,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,516.746,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,89.358,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,327.775,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,527.503,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),All rigids,,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,83.214,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,249.366,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,401.315,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,374.048,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,601.972,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,28.898,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,311.707,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,501.644,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,48.164,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,302.979,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,487.598,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>3.5 - 33t),,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,54.436,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,252.692,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,406.668,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,421.153,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,6.7778,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,23.273,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,336.922,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,542.224,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,37.236,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,360.507,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,5.8018,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Articulated (>33t),,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,31.127,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,307.421,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,494.746,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,442.387,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,711.952,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,49.015,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,374.904,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,603.349,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,83.076,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,387.311,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,623.317,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,72.496,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,180.593,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,290.636,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,2.12,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,341.182,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,1.0312,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,196.297,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,315.909,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,190.963,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,194.098,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,312.371,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,219.563,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,216.876,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,349.029,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,278.841,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,448.751,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,56.798,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,247.859,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,3.9889,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,100.974,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,236.705,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,3.8094,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,150.673,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,292.795,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,471.208,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,486.009,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,782.156,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,100% Laden,GHG Conversion Factor 2022,100% Laden,,tonne.km,,,,,27.113,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,km,,,,,389.402,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,miles,,,,,626.682,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,50% Laden,GHG Conversion Factor 2022,50% Laden,,tonne.km,,,,,43.425,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,km,,,,,415.203,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,miles,,,,,668.204,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All artics,,Average laden,GHG Conversion Factor 2022,Average laden,,tonne.km,,,,,36.633,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,km,,,,,303.917,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,miles,,,,,489.107,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All HGVs,,0% Laden,GHG Conversion Factor 2022,0% Laden,,tonne.km,,,,,,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,km,,,,,470.094,
Scope 1,Scope 1,Passenger and delivery vehicles- kWh factors,HGV refrigerated (all diesel),All HGVs,,100% Laden,GHG Conversion Factor 2022,100% Laden,,miles,,,,,756.542,
